@relation vectores_clustered

@attribute Instance_number numeric
@attribute caracteristica0 numeric
@attribute caracteristica1 numeric
@attribute caracteristica2 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
506,3676.491699,982.339844,0.334031,cluster4
507,768.045715,2718.023438,0.462499,cluster7
508,905.294739,2111.152344,0.442608,cluster7
509,931.364868,1655.117188,0.331073,cluster4
510,1335.687744,1802.347656,0.391936,cluster2
511,1365.180786,2091.8125,0.386105,cluster2
512,1672.708496,1120.476563,0.466953,cluster3
513,1362.2052,1561.738281,0.283712,cluster4
514,2064.965576,843.101563,0.693158,cluster3
515,1986.314819,930.300781,0.69215,cluster3
516,2241.862549,637.75,0.619926,cluster3
517,2414.30835,613.644531,0.529293,cluster3
518,2058.053955,867.605469,0.595072,cluster3
519,1566.543945,2026.179688,0.540665,cluster7
520,1379.327148,2492.03125,0.381688,cluster2
521,1193.443604,2806.121094,0.552791,cluster7
522,1119.281738,3927.003906,0.720744,cluster5
523,795.097473,3338.175781,0.463381,cluster5
524,763.610291,3056.664063,0.344214,cluster2
525,1002.148865,2980.96875,0.472329,cluster5
526,857.977478,4226.707031,0.634376,cluster5
527,1905.352783,2267.027344,0.441152,cluster7
528,17009.439453,244.941406,0,cluster0
529,25948.0625,126.4375,0,cluster0
530,17506.90625,189.207031,0,cluster0
531,21393.580078,169.078125,0,cluster0
532,16566.662109,205.757813,0,cluster0
533,20286.216797,149.085938,0,cluster0
534,1992.751587,1789.976563,0.280954,cluster2
535,898.228394,1862.597656,0.531483,cluster7
536,840.369751,1991.796875,0.341501,cluster2
537,1077.44873,2306.945313,0.554852,cluster7
538,1462.564575,2130.675781,0.705804,cluster1
539,1869.492065,1177.449219,0.660486,cluster3
540,2159.432373,796.773438,0.104141,cluster6
541,1998.082764,844.519531,0.429161,cluster4
542,7291.086426,55.316406,0,cluster8
543,2888.973389,426.09375,0,cluster8
544,2954.487549,344.546875,0,cluster8
545,2532.912598,661.125,0.640655,cluster3
546,1956.063843,1154.820313,0.372795,cluster4
547,1819.43335,1431.453125,0.597705,cluster3
548,1425.232788,2175.863281,0.41492,cluster2
549,958.213684,3159.710938,0.387445,cluster2
550,914.690308,4366.882813,0.573959,cluster5
551,795.684265,3225.285156,0.479621,cluster5
552,716.896057,3320.96875,0.444974,cluster5
553,810.450806,3905.382813,0.709795,cluster5
554,987.063171,3089.316406,0.480693,cluster5
555,2116.339844,2058.558594,0.345773,cluster2
556,29272.599609,113.628906,0,cluster0
557,19481.001953,172.128906,0,cluster0
558,15999.864258,198.878906,0,cluster0
559,20728.630859,174.597656,0,cluster0
560,11776.250977,276.046875,0,cluster8
561,18096.683594,155.625,0,cluster0
562,2255.654053,1543.214844,0.245756,cluster6
563,1136.376221,1805.660156,0.122982,cluster6
564,875.754883,1766.542969,0.393884,cluster2
565,873.280762,2232.054688,0.23701,cluster2
566,1444.640625,1961.703125,0.472071,cluster7
567,1355.142334,1888.957031,0.247252,cluster2
568,1882.553833,1072.460938,0.313801,cluster4
569,3391.935791,286.9375,0,cluster8
570,2458.763916,625.140625,0,cluster8
571,2709.315674,467.425781,0,cluster8
572,3511.799316,230.664063,0,cluster8
573,3364.240234,271.597656,0,cluster8
574,3228.918213,347.070313,0,cluster8
575,2047.053345,766.070313,0.365354,cluster4
