@relation vectores

@attribute caracteristica0 NUMERIC
@attribute caracteristica1 NUMERIC
@attribute caracteristica2 NUMERIC

@data
6394.56884765625,712.875,0.2956863066625
28616.798828125,132.75,0
30924.298828125,120.09375,0
13319.314453125,298.2890625,0
15311.470703125,232.76171875,0
11077.6337890625,275.203125,0
19818.8984375,173.3359375,0
22898.34375,155.17578125,0
9131.22265625,633.28515625,0.260787734126245
827.005676269531,3135.76171875,0.609173272427238
948.025695800781,1907.05078125,0.32656470177457
1259.51489257813,2291.6796875,0.481763025482911
1437.7373046875,1991.73046875,0.772133561946228
1443.49743652344,1962.37890625,0.70788332181103
1484.93518066406,2117.23828125,0.675601962611782
1542.24658203125,1957.78125,0.766755871424829
1675.794921875,1865.71484375,0.702559341111215
1841.70654296875,1121.07421875,0.640253520438092
2065.5859375,1032.3671875,0.637937705085079
1961.69030761719,923.6484375,0.409806345757404
1479.92651367188,1820.046875,0.610093808032058
1309.87292480469,2393.25,0.637378623097316
1150.84008789063,2402.015625,0.502929532081487
1285.65075683594,2458.7578125,0.644784008905065
1274.41455078125,2324.41796875,0.641277972334532
999.061706542969,3161.484375,0.55627816494284
1128.38317871094,2971.99609375,0.485603620168515
735.055786132813,2930.23828125,0.48897046172513
2265.484375,2609.25,0.704848769146043
20988.9296875,183.62890625,0
25217.962890625,145.43359375,0
12918.8046875,284.08203125,0
25887.072265625,148.35546875,0
11382.189453125,280.296875,0
17428.794921875,192.44140625,0
20990.74609375,167.4609375,0
4071.28466796875,2064.65234375,0.484925392088525
1062.75463867188,3280.90234375,0.687336840280622
875.270935058594,2397.26953125,0.482058072019121
1048.26672363281,2444.9765625,0.648956608591975
1760.60180664063,1376.69921875,0.514725437613596
1935.5380859375,1155.20703125,0.700711561761399
1993.18981933594,963.96875,0.549578147714165
1750.97973632813,1261.58984375,0.795692038298285
1869.45812988281,1473.55859375,0.616572398227154
1951.81530761719,1067.1171875,0.607449316179223
1822.41223144531,1498.12890625,0.613434017657742
1615.45031738281,1840.9453125,0.596931100944007
1903.68103027344,974.54296875,0.26398096885442
1100.0107421875,3227.734375,0.430487588575432
1324.09814453125,2194.5234375,0.300146584817413
1445.15441894531,2445.8828125,0.391051080160371
1246.48510742188,2047.7734375,0.622270611194071
821.987609863281,2579.16796875,0.606157248172348
825.425964355469,2600.94921875,0.390474936854771
722.508544921875,3394.82421875,0.445514513283576
1287.9638671875,3115.78125,0.47636754095098
21458.392578125,165.82421875,0
27576.677734375,134.640625,0
23147.67578125,161.18359375,0
17452.201171875,232.015625,0
13700.4013671875,245.20703125,0
21385.3046875,159.5703125,0
19973.677734375,169.6328125,0
2724.99633789063,1713.5546875,0.250036430033892
939.879333496094,3680.6171875,0.615692346977887
973.557800292969,2793.94140625,0.502070579650664
1159.62756347656,2107.63671875,0.518577007396998
1360.91394042969,1511.921875,0.641441961465519
1787.34521484375,1377.4140625,0.823189293501818
1643.42150878906,1994.41015625,0.840790010742152
1679.55688476563,2030.6015625,0.897677216138576
1625.07556152344,2152.41796875,0.853680647521633
1693.49755859375,1668.25390625,0.540318358883448
2071.50708007813,941.3046875,0.475463042140801
1687.3701171875,1604.91015625,0.428774604596847
2095.21997070313,869.0546875,0.336960711494597
1836.37182617188,998.2890625,0.686015059884682
1331.57019042969,1486.6875,0.237500798341945
1196.28125,3126.72265625,0.410388416675129
1369.17907714844,2085.5625,0.563380628618819
1075.28149414063,2124.76953125,0.553270527217109
883.026184082031,2794.84375,0.513603429879545
1421.60144042969,1854.3359375,0.505545076478772
693.528137207031,3192.9765625,0.483493986819051
19563.025390625,186.8046875,0
25191.841796875,135.78515625,0
25045.298828125,144.40234375,0
16376.5615234375,241.24609375,0
15394.619140625,253.40234375,0
13163.4658203125,389.5234375,0
26553.59375,130.4375,0
2432.88037109375,1858.1796875,0.389268603360419
782.775512695313,2451.37890625,0.387332265436274
1029.85046386719,1790.62890625,0.372734626975305
1520.20825195313,1366.4921875,0.482418017694761
2087.43139648438,839.5703125,0.469126987708043
1344.48742675781,2322.16015625,0.393016233948025
1544.84533691406,1961.7578125,0.333805950138883
2092.82763671875,1059.7734375,0.568278750495274
2013.55004882813,1060.41015625,0.327178525612466
1248.84045410156,2221.0390625,0.0499669056335266
1894.54663085938,922.31640625,0.547599480985837
2582.779296875,476.6484375,0.290966307458574
1546.12524414063,2050.01953125,0.0625522850191751
1438.87036132813,3029.00390625,0.551463886600877
1378.47827148438,2101.43359375,0.485780808327897
1415.61975097656,2375.78125,0.51235594993111
1408.02709960938,1788.76953125,0.267386733021627
1365.453125,1570.84765625,0.287511471942983
909.218017578125,3427.79296875,0.217023133285665
807.293090820313,2584.36328125,0.27427969451053
765.644714355469,3478.6328125,0.344019073241125
17648.5546875,242.19921875,0
28696.544921875,131.71875,0
29875.798828125,123.78515625,0
22035.484375,177.0546875,0
14800.7451171875,259.81640625,0
20259.95703125,176.359375,0
18307.701171875,188.6953125,0
2495.177734375,1128.140625,0.224177486527654
754.565246582031,2350.1484375,0.481249582104203
1132.57446289063,2017.03125,0.479820812699804
1560.41040039063,1367.6953125,0.486489280323524
1425.39221191406,1876.0078125,0.445261088654272
1735.10266113281,1636.6171875,0.686223039742621
2335.89770507813,710.796875,0.160608102643276
1678.56909179688,1295.84765625,0.482922860035455
2154.2353515625,854.1484375,0.141279254059326
1908.88891601563,1206.80078125,0.184180166203806
2743.8818359375,485.21484375,0.285699429554722
1575.52062988281,2273.4765625,0.560720344051229
1980.47192382813,1417.01171875,0.749769328188688
1337.65295410156,2752.2734375,0.620279839293198
1095.28967285156,3000.109375,0.572574675042966
1425.373046875,2540.6328125,0.368898690328385
1404.12365722656,2395.14453125,0.186848229275429
1217.85913085938,2589.90625,0.421558759397781
1041.46606445313,2896.56640625,0.149121764964511
990.630676269531,3693.046875,0.54360035523439
686.728881835938,3516.92578125,0.524640886745245
4067.98876953125,2114.046875,0
25702.4609375,136.2578125,0
16037.4404296875,243.25,0
24854.38671875,151.32421875,0
12449.5810546875,285.61328125,0
19433.810546875,183.33203125,0
18643.4921875,166.2890625,0
975.438354492188,2275.16015625,0.224376600137887
821.640075683594,1968.60546875,0.327768997928975
990.791809082031,2639.61328125,0.474050112423556
1239.14172363281,1412.0703125,0.34601668112869
1671.77587890625,1299.0703125,0.711868795831872
1422.58813476563,1316.62890625,0.397149657062681
2379.24389648438,700.15234375,0.281686360686538
1728.65051269531,1583.890625,0.559924013765835
1376.20434570313,2324.3828125,0.561461333313862
1453.43249511719,2022.41015625,0.516411259079984
1693.26611328125,1402.53515625,0.522833852209929
1184.43969726563,2573.72265625,0.664738655376596
1564.22131347656,2891.578125,0.652009206533061
1300.14282226563,2879.84375,0.477642751537273
1109.54931640625,3398.6640625,0.633008658105895
1121.46752929688,2975.65625,0.40589972993908
932.715209960938,3443.1328125,0.162230350254837
1287.86010742188,2587.453125,0.0560845843789418
1107.00268554688,2087.33984375,0.328571725099689
786.26123046875,3033.671875,0.378073300745931
714.536315917969,4820.96875,0.642541292307406
16444.458984375,263.63671875,0
23565.92578125,147.9375,0
24484.45703125,148.6796875,0
22641.34765625,173.58203125,0
14863.982421875,250.21484375,0
17980.916015625,186.23828125,0
9777.3779296875,397.16015625,0
2901.5302734375,1057.0703125,0.213011679357958
726.331848144531,2868.9453125,0.450713307088816
832.875793457031,1980.71484375,0.564683712119628
1138.77770996094,2584.44921875,0.639117836024513
1587.44116210938,1616.80078125,0.476128536180373
1292.73669433594,1756.546875,0.222373036477327
2193.71655273438,958.33984375,0.423319559467593
1348.00793457031,2420.5390625,0.692099726821451
2189.78002929688,748.44921875,0.104269353397964
1602.90087890625,2256.2109375,0.768319021406627
1768.96069335938,1328.71875,0.366938883870386
1200.61645507813,2760.64453125,0.682153304128415
1220.298828125,3250.3125,0.62295079712486
1211.84680175781,3045.7890625,0.682618277752916
1241.0986328125,2504.6484375,0.571794748322646
751.701416015625,3406.47265625,0.216388228324291
986.956604003906,3216.35546875,0.339617273008636
1028.53430175781,2723.046875,0.200696838370879
1372.53442382813,2009.00390625,0.240247694869756
1088.15344238281,3391.13671875,0.805891292896571
691.428833007813,4737.6171875,0.463363422749753
10321.6923828125,673.4609375,0.493773156707857
23926.29296875,158.27734375,0
28724.189453125,118.8515625,0
34226.5859375,112.890625,0
17060.41796875,204.3359375,0
23936.6171875,141.9921875,0
14372.2099609375,263.41796875,0
895.70361328125,2537.78125,0.623727029972326
1047.79504394531,2430.12890625,0.114482788825398
938.258850097656,1827.0859375,0.332199434768609
1289.97900390625,1706.90625,0.48079427780726
1578.47216796875,1551.56640625,0.58944590229992
1226.94848632813,2159.59765625,0.531771145055503
1513.15502929688,1911.15625,0.747756633792196
1434.04467773438,2350.28515625,0.748132448155121
1741.45373535156,1430.52734375,0.684093562158252
1442.87780761719,2225.2421875,0.495061047870196
1524.18603515625,2198.12109375,0.643231978404208
1489.15539550781,1914.8828125,0.699456906790669
1418.42749023438,2075.02734375,0.652091975801
1369.82543945313,2345.41796875,0.637581120502224
1137.93786621094,3312.92578125,0.546619385793179
1142.30407714844,2960.109375,0.527055723112232
1155.44616699219,2866.85546875,0.425913407467089
725.767333984375,3291.875,0.189996240608603
901.740417480469,2756.15625,0.2106746074549
855.576110839844,3490.80859375,0.540621659896028
663.262451171875,3652.5078125,0.600544176466621
3786.20874023438,1952.77734375,0.272625914195064
27193.99609375,130.36328125,0
16588.8671875,212.359375,0
